Country,Year,Mission Name,Mission Type,Launch Site,Satellite Type,Budget (in Billion $),Success Rate (%),Technology Used,Environmental Impact,Collaborating Countries,Duration (in Days)
India,2006,Balanced discrete orchestration,Manned,North Jasonborough,Weather,18.95,91,Solar Propulsion,Medium,"Israel, China, India",277
India,2012,Innovative 6thgeneration algorithm,Unmanned,South William,Weather,6.62,69,Solar Propulsion,Low,"India, UK, China",25
India,2020,Enterprise-wide heuristic knowledge user,Unmanned,Rodriguezshire,Communication,25.79,61,Reusable Rocket,Low,"Israel, France",208
India,2020,Phased context-sensitive intranet,Unmanned,Popehaven,Research,35.59,50,Solar Propulsion,High,"Israel, Germany, USA",73
India,2004,Exclusive object-oriented adapter,Unmanned,Lake Susan,Research,6.38,73,AI Navigation,Low,UAE,169
India,2025,Open-source logistical hierarchy,Manned,West Susan,Weather,3.83,65,Solar Propulsion,High,"India, China, France",323
India,2016,Advanced client-driven budgetary management,Unmanned,South Sherri,Research,0.79,82,Traditional Rocket,Low,"China, France, UK",191
India,2024,Down-sized systemic leverage,Unmanned,Lake Hannah,Communication,26.05,73,Nuclear Propulsion,Medium,"UK, China",307
India,2015,Centralized multi-tasking monitoring,Unmanned,Elizabethside,Spy,47.9,61,Reusable Rocket,Low,"India, Germany, Russia",154
India,2011,Implemented value-added complexity,Manned,Stephaniehaven,Spy,47.39,60,Solar Propulsion,High,"Russia, Germany, UK",260
India,2020,Customizable fault-tolerant secured line,Manned,Whiteside,Research,42.77,95,Reusable Rocket,Medium,Germany,60
India,2024,Optional dedicated implementation,Unmanned,West Jeffrey,Communication,17.47,69,AI Navigation,High,"China, France, India",118
India,2012,Innovative directional collaboration,Unmanned,Richardchester,Weather,44.02,79,Reusable Rocket,Medium,"France, UK, Russia",134
India,2014,Fundamental intermediate standardization,Unmanned,New Judith,Spy,29.25,77,AI Navigation,Medium,USA,126
India,2003,Versatile regional application,Manned,Kiaraton,Spy,32.74,78,Solar Propulsion,Medium,"China, Japan, Germany",90
India,2005,Assimilated leadingedge adapter,Manned,Erinhaven,Research,20.93,86,AI Navigation,Medium,UK,236
India,2000,Automated mission-critical Graphical User Interface,Unmanned,New Leslie,Research,31.13,85,AI Navigation,High,"UAE, Germany",126
India,2012,Multi-layered static focus group,Manned,Marytown,Research,31.37,83,Solar Propulsion,Medium,China,292
India,2018,Triple-buffered foreground middleware,Manned,Crystalstad,Weather,21.31,92,Nuclear Propulsion,High,"UAE, USA, Russia",148
India,2024,Exclusive 4thgeneration Graphical User Interface,Manned,Arianaport,Communication,22.53,80,Reusable Rocket,Low,"Germany, India",120
India,2014,Profound transitional Local Area Network,Unmanned,Steventown,Weather,38.95,70,Solar Propulsion,High,"Israel, USA",305
India,2004,Synergistic 4thgeneration portal,Manned,New Michelle,Weather,33.47,67,Traditional Rocket,High,USA,114
India,2000,Enterprise-wide maximized paradigm,Unmanned,Mcphersonmouth,Weather,37.05,89,AI Navigation,Medium,France,174
India,2017,Integrated object-oriented throughput,Manned,Carlosstad,Research,24.65,93,Traditional Rocket,Medium,"China, USA",84
India,2008,Polarized regional archive,Unmanned,North Devin,Communication,39.93,87,Solar Propulsion,Low,Germany,314
India,2007,Seamless analyzing policy,Manned,New Sandra,Spy,18.57,76,Reusable Rocket,Low,"UAE, China",5
India,2009,Ergonomic methodical algorithm,Unmanned,Gonzaleztown,Research,16.47,56,Nuclear Propulsion,High,"Germany, USA",104
India,2025,Versatile upward-trending instruction set,Manned,Guzmantown,Weather,28.78,55,AI Navigation,Low,UK,330
India,2004,Ameliorated maximized Local Area Network,Unmanned,Lake Rebecca,Research,44.52,83,Traditional Rocket,High,"France, Israel",214
India,2024,Adaptive 24hour utilization,Unmanned,Hinesbury,Spy,6.81,74,Solar Propulsion,Medium,"India, UK, UAE",177
India,2000,Ameliorated client-driven software,Manned,Paulaberg,Research,40.44,79,Solar Propulsion,Medium,"France, China",209
India,2025,Switchable high-level benchmark,Manned,Davidton,Research,30.99,56,Nuclear Propulsion,High,USA,208
India,2021,Fully-configurable disintermediate adapter,Unmanned,New Cynthiaport,Communication,41.84,62,Solar Propulsion,Medium,"UAE, Israel",166
India,2008,De-engineered attitude-oriented frame,Unmanned,Carterberg,Spy,6.53,87,Traditional Rocket,High,"Japan, USA, France",315
India,2025,Vision-oriented user-facing software,Manned,Stephenburgh,Research,9.87,91,Solar Propulsion,High,"UK, India, Russia",255
India,2008,Profit-focused secondary frame,Manned,Michaelburgh,Navigation,48.05,94,Reusable Rocket,Low,"Japan, Israel, France",74
India,2023,Multi-channeled methodical paradigm,Unmanned,Lake Margaret,Weather,25.6,78,Solar Propulsion,Low,Germany,7
India,2012,Focused 4thgeneration access,Unmanned,South Jacqueline,Research,19.58,96,Traditional Rocket,Medium,"India, USA, Israel",74
India,2017,Self-enabling stable open architecture,Unmanned,Robertfort,Research,15.64,54,Traditional Rocket,Low,"UK, UAE, China",98
India,2019,Persevering empowering methodology,Manned,Lake Danielview,Weather,30.52,65,Traditional Rocket,Medium,USA,118
India,2014,Down-sized high-level analyzer,Unmanned,Port Gary,Research,19.84,50,Traditional Rocket,High,"Germany, China",20
